,OIL NAME,MEASUREMENT NUMBER,FREQUENCY (MHZ),S21 (db),PHASE (DEG)
0,TRAFO 46,1,118.876888,-48.07645,-138.9213
1,TRAFO 46,1,118.870887,-48.12016,-136.0033
2,TRAFO 46,1,118.888889,-48.13108,-149.379
3,TRAFO 46,2,118.918892,-47.96186,-161.7688
4,TRAFO 46,2,118.890889,-47.97822,-144.0774
5,TRAFO 46,2,118.882888,-47.9878,-139.4882
6,TRAFO 46,3,118.892889,-47.97227,-145.6281
7,TRAFO 46,3,118.950895,-48.01999000000001,175.6757
8,TRAFO 46,3,118.936894,-48.03017,-174.32630000000003
