,OIL NAME,MEASUREMENT NUMBER,FREQUENCY (MHZ),S21 (db),PHASE (DEG)
0,10W40,1,118.872887,-62.33632999999999,175.52
1,10W40,1,118.870887,-62.35868,-178.2246
2,10W40,1,118.878888,-62.45934,172.3324
3,10W40,2,118.874887,-61.892300000000006,-178.61090000000002
4,10W40,2,118.878888,-61.90285,171.6235
5,10W40,2,118.876888,-61.913070000000005,175.2182
6,10W40,3,118.886889,-61.37335,169.7036
7,10W40,3,118.884888,-61.49127,176.14680000000004
8,10W40,3,118.894889,-61.60141,166.7147
