,OIL NAME,MEASUREMENT NUMBER,FREQUENCY (MHZ),S21 (db),PHASE (DEG)
0,CANOLA,1,118.892889,-55.99414,-162.3752
1,CANOLA,1,118.862886,-56.00793,-137.5413
2,CANOLA,1,118.872887,-56.054919999999996,-144.066
3,CANOLA,2,118.876888,-55.62185,-147.20659999999998
4,CANOLA,2,118.884888,-55.65122000000001,-153.3732
5,CANOLA,2,118.880888,-55.66278,-147.9447
6,CANOLA,3,118.882888,-55.92981,-149.6538
7,CANOLA,3,118.892889,-55.9731,-158.9033
8,CANOLA,3,118.884888,-56.0214,-152.0416
