,OIL NAME,MEASUREMENT NUMBER,FREQUENCY (MHZ),S21 (db),PHASE (DEG)
0,TRAFO 38,1,118.878888,-49.43958000000001,-148.5207
1,TRAFO 38,1,118.870887,-49.447109999999995,-141.86850000000004
2,TRAFO 38,1,118.874887,-49.49284,-145.6563
3,TRAFO 38,2,118.874887,-49.66662,-143.0631
4,TRAFO 38,2,118.942894,-49.67152,171.8043
5,TRAFO 38,2,118.922892,-49.69144,-176.14340000000004
6,TRAFO 38,3,118.876888,-49.695570000000004,-145.4318
7,TRAFO 38,3,118.892889,-49.70817,-156.7083
8,TRAFO 38,3,118.970897,-49.76433,151.4603
