,OIL NAME,OIL TYPE,MEASUREMENT NUMBER,FREQUENCY (MHZ),S21 (db),PHASE (DEG)
0,TRAFO 44,MINERAL,1,118.892889,-49.60576,-154.2421
1,TRAFO 44,MINERAL,1,118.882888,-49.60727,-147.1971
2,TRAFO 44,MINERAL,1,118.876888,-49.646910000000005,-143.6986
3,TRAFO 44,MINERAL,2,118.892889,-49.56674,-154.1817
4,TRAFO 44,MINERAL,2,118.884888,-49.59696,-148.3112
5,TRAFO 44,MINERAL,2,118.914891,-49.62706,-169.3878
6,TRAFO 44,MINERAL,3,118.880888,-49.58331,-146.1027
7,TRAFO 44,MINERAL,3,118.882888,-49.646010000000004,-148.0336
8,TRAFO 44,MINERAL,3,118.884888,-49.66164,-149.4274
